No ,Prodi,Jumlah Mahasiswa Aktif TS 2022/2023 + Mahasiswa PMB 2023,,Jumlah Total,Mahasiswa Mengundurkan Diri TS 2023/2024,,Jumlah,Mahasiswa Dikeluarkan TS 2023/2024,,Jumlah,Mahasiswa Wafat TS 2023/2024,,Jumlah,LULUS TS 2023/2024,,,,,Jumlah,,Jumlah Lulusan Mahasiswa TA. 2023/2024,,Mahasiswa Aktif TS 2023/2024 (Gabungan TS 2022/2023)
,,2022/2023,2023,,Genap,Ganjil,,Genap,Ganjil,,Genap,Ganjil,,Sept,Nov,Maret,Mei,Juli,,,,,
1,TEKNIK KIMIA,553,129,682,5,0,5,0,7,7,0,0,0,10,15,16,,,41,,98,,629
2,TEKNIK BIOSISTEM,265,70,335,2,2,4,2,3,5,0,1,1,25,8,7,,,40,,96,,285
3,TEKNOLOGI PANGAN,524,137,661,7,0,7,0,3,3,0,1,1,40,8,19,,,67,,104,,583
4,TEKNOLOGI INDUSTRI PERTANIAN,413,97,510,4,0,4,7,1,8,0,0,0,3,6,18,,,27,,34,,471
5,REKAYASA KEHUTANAN,331,99,430,2,1,3,2,0,2,0,0,0,11,5,5,,,21,,21,,404
6,REKAYASA KOSMETIK,36,91,127,3,0,3,0,0,0,0,0,0,0,0,0,,,0,,0,,124
7,TEKNIK ELEKTRO,687,157,844,2,1,3,9,19,28,0,0,0,65,5,11,,,81,,459,,732
8,TEKNIK INFORMATIKA,1064,213,1277,8,4,12,11,32,43,0,0,0,49,22,29,,,100,,433,,1122
9,TEKNIK FISIKA,198,63,261,3,1,4,0,3,3,0,1,1,11,29,15,,,55,,85,,198
10,TEKNIK SISTEM ENERGI,265,54,319,2,1,3,1,4,5,0,0,0,9,1,2,,,12,,41,,299
11,TEKNIK TELEKOMUNIKASI,419,104,523,0,0,0,0,4,4,0,0,0,16,3,3,,,22,,29,,497
12,REKAYASA INSTRUMENTASI DAN AUTOMASI,43,54,97,0,0,0,0,3,3,0,0,0,0,0,0,,,0,,0,,94
13,TEKNIK BIOMEDIS,366,130,496,6,1,7,0,8,8,0,1,1,0,0,0,,,0,,0,,480
14,REKAYASA KEOLAHRAGAAN,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,14
15,TEKNIK GEOFISIKA,728,166,894,3,3,6,8,13,21,0,1,1,41,25,33,,,99,,541,,767
16,TEKNIK GEOLOGI,466,107,573,1,6,7,6,8,14,0,1,1,19,9,17,,,45,,200,,506
17,TEKNIK INDUSTRI,707,157,864,2,4,6,0,25,25,0,0,0,68,15,11,,,94,,222,,739
18,TEKNIK MESIN,525,124,649,7,5,12,0,11,11,0,1,1,37,4,11,,,52,,189,,573
19,TEKNIK PERTAMBANGAN,707,186,893,0,2,2,11,3,14,2,0,2,30,17,10,,,57,,60,,818
20,TEKNIK MATERIAL,259,100,359,2,1,3,7,0,7,0,0,0,14,4,9,,,27,,53,,322
21,REKAYASA MINYAK DAN GAS,93,85,178,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,178
TOTAL JTPI,,8649,2337,10986,59,32,91,64,147,211,2,7,9,448,176,216,0,0,840,,,,9835